job,case,n,K,precision,P,shape,status,fused_engaged,t_cold_s,mem_gb,t_near_ms,t_life_ms,t_life_serial_ms,t_update_ms,vel_rel_rms,n_leaves,n_u,route_uploads,operator_uploads,expansion_host_copies,route_flat,operator_flat
13193508,wake,1000000,256,Float32,4,fused_srclanes,ok,true,1.39,2.875,16.4787,23.465,24.797,9.6,6.887e-04,8227,413111,2,4,0,true,true
13193508,wake,1000000,256,Float32,4,fused_packed,ok,true,1.389,2.875,11.0067,18.319,19.464,10.324,6.887e-04,8227,413111,2,4,0,true,true
13193508,wake,1000000,256,Float64,4,pairs,ok,false,0.254,3.094,24.9033,38.766,39.601,12.074,6.892e-04,8227,413111,2,4,0,true,true
13193508,wake,1000000,256,Float64,4,fused_cta,ok,true,0.272,3.094,27.7502,40.253,42.43,9.999,6.892e-04,8227,413111,2,4,0,true,true
13193508,wake,1000000,256,Float64,4,fused_srclanes,ok,true,0.262,3.094,29.2159,41.581,43.913,10.074,6.892e-04,8227,413111,2,4,0,true,true
13193508,wake,1000000,256,Float64,4,fused_packed,ok,true,0.263,3.094,22.6436,35.446,37.243,9.651,6.892e-04,8227,413111,2,4,0,true,true
13193508,sigma_multiscale,100000,64,Float32,4,pairs,ok,false,4.513,2.875,3.1552,29.094,28.861,2.392,3.930e-04,5817,729830,2,4,0,true,true
13193508,sigma_multiscale,100000,64,Float32,4,fused_cta,ok,true,0.08,2.875,6.91,29.312,32.811,2.377,3.930e-04,5817,729830,2,4,0,true,true
13193508,sigma_multiscale,100000,64,Float32,4,fused_srclanes,ok,true,0.084,2.875,6.1092,29.311,31.899,2.422,3.930e-04,5817,729830,2,4,0,true,true
13193508,sigma_multiscale,100000,64,Float32,4,fused_packed,ok,true,0.076,2.875,6.2889,28.557,32.012,2.442,3.930e-04,5817,729830,2,4,0,true,true
13193508,sigma_multiscale,100000,64,Float64,4,pairs,ok,false,3.914,3.531,5.1615,34.988,34.221,2.524,3.924e-04,5817,729830,2,4,0,true,true
13193508,sigma_multiscale,100000,64,Float64,4,fused_cta,ok,true,0.074,3.531,11.4513,35.077,40.405,2.521,3.924e-04,5817,729830,2,4,0,true,true
13193508,sigma_multiscale,100000,64,Float64,4,fused_srclanes,ok,true,0.074,3.531,9.9555,36.014,38.672,2.474,3.924e-04,5817,729830,2,4,0,true,true
13193508,sigma_multiscale,100000,64,Float64,4,fused_packed,ok,true,0.081,3.531,10.8219,33.643,40.296,2.478,3.924e-04,5817,729830,2,4,0,true,true
13193508,sigma_multiscale,1000000,64,Float32,4,pairs,fail:AssertionError AssertionError: adaptive device U list capacity 15122880 exceeded; raise AdaptiveTreePolicy u_capacity,,,,,,,,,,,,,,,
13193508,sigma_multiscale,1000000,64,Float32,4,fused_cta,fail:AssertionError AssertionError: adaptive device U list capacity 15122880 exceeded; raise AdaptiveTreePolicy u_capacity,,,,,,,,,,,,,,,
13193508,sigma_multiscale,1000000,64,Float32,4,fused_srclanes,fail:AssertionError AssertionError: adaptive device U list capacity 15122880 exceeded; raise AdaptiveTreePolicy u_capacity,,,,,,,,,,,,,,,
