case,class,sigma_bin,output,rank,svd_relative_rms,singular_value
rotor,self,6.000,u,51,2.090878060e-01,2.760213725e+01
rotor,self,6.000,u,52,1.944251073e-01,2.675201896e+01
rotor,self,6.000,u,53,1.803958511e-01,2.522029402e+01
rotor,self,6.000,u,54,1.653814091e-01,2.505957506e+01
rotor,self,6.000,u,55,1.503441327e-01,2.396405666e+01
rotor,self,6.000,u,56,1.372330783e-01,2.135585350e+01
rotor,self,6.000,u,57,1.231758300e-01,2.104257897e+01
rotor,self,6.000,u,58,1.106927450e-01,1.879177430e+01
rotor,self,6.000,u,59,9.895174507e-02,1.725500773e+01
rotor,self,6.000,u,60,8.923309219e-02,1.487360482e+01
rotor,self,6.000,u,61,7.934392788e-02,1.420037691e+01
rotor,self,6.000,u,62,6.917874356e-02,1.351371931e+01
rotor,self,6.000,u,63,5.736996686e-02,1.344473375e+01
rotor,self,6.000,u,64,4.555145703e-02,1.212984196e+01
rotor,self,6.000,u,65,4.027729538e-02,7.399698200e+00
rotor,self,6.000,u,66,3.544120163e-02,6.655324523e+00
rotor,self,6.000,u,67,3.060457388e-02,6.216053484e+00
rotor,self,6.000,u,68,2.809592350e-02,4.220480035e+00
rotor,self,6.000,u,69,2.649975117e-02,3.246683072e+00
rotor,self,6.000,u,70,2.498273840e-02,3.073585349e+00
rotor,self,6.000,u,71,2.379114804e-02,2.651417145e+00
rotor,self,6.000,u,72,2.283393271e-02,2.323461663e+00
rotor,self,6.000,u,73,2.193927958e-02,2.201189131e+00
rotor,self,6.000,u,74,2.110709583e-02,2.081607277e+00
rotor,self,6.000,u,75,2.026398521e-02,2.054052800e+00
rotor,self,6.000,u,76,1.946345854e-02,1.961345503e+00
rotor,self,6.000,u,77,1.875424170e-02,1.810684076e+00
rotor,self,6.000,u,78,1.802169509e-02,1.805179501e+00
rotor,self,6.000,u,79,1.741148164e-02,1.617211511e+00
rotor,self,6.000,u,80,1.679552777e-02,1.596439760e+00
rotor,self,6.000,u,81,1.623205180e-02,1.500365127e+00
rotor,self,6.000,u,82,1.568724306e-02,1.450339148e+00
rotor,self,6.000,u,83,1.522531910e-02,1.314236831e+00
rotor,self,6.000,u,84,1.479641819e-02,1.248007752e+00
rotor,self,6.000,u,85,1.435863240e-02,1.242534959e+00
rotor,self,6.000,u,86,1.395102030e-02,1.181440073e+00
rotor,self,6.000,u,87,1.357305422e-02,1.121769589e+00
rotor,self,6.000,u,88,1.321299339e-02,1.080097955e+00
rotor,self,6.000,u,89,1.285362306e-02,1.064472214e+00
rotor,self,6.000,u,90,1.252350854e-02,1.006640667e+00
rotor,self,6.000,u,91,1.219306689e-02,9.939451696e-01
rotor,self,6.000,u,92,1.187812401e-02,9.576031733e-01
rotor,self,6.000,u,93,1.157481844e-02,9.275978807e-01
